users,rps,min,avg,sd,median,max
1,625.28,1,2,0.1,2,4
2,2827.35,0,1,0.4,1,5
3,4556.49,0,1,0.1,1,6
4,5586.26,0,1,0.1,1,5
5,6003.85,0,1,0.2,1,5
6,6887.81,0,1,0.1,1,3
7,7126.77,1,1,0.1,1,7
8,7372.23,0,1,0.2,1,8
9,7665.40,0,1,0.2,1,5
10,7958.09,0,1,0.2,1,7
11,7986.28,0,1,0.3,1,6
12,8151.22,0,1,0.3,1,5
13,8243.02,0,2,0.3,2,7
14,8646.21,1,2,0.3,2,9
15,8583.31,1,2,0.3,2,6
16,8715.55,1,2,0.3,2,6
17,8823.77,0,2,0.3,2,10
18,8858.81,0,2,0.4,2,13
19,8866.13,0,2,0.5,2,14
20,8980.44,0,2,0.5,2,7
25,9321.74,0,3,0.7,3,13
30,9404.23,0,3,0.9,3,11
35,9483.90,0,4,1.2,4,13
40,9508.24,0,4,1.4,4,14
45,9659.72,0,5,1.5,5,16
50,9720.47,0,5,1.7,5,15
55,9856.59,0,6,1.8,5,18
60,10020.83,0,6,1.9,6,18
65,9884.09,0,7,2.2,6,24
70,10074.79,0,7,2.1,7,21
75,10113.15,0,7,2.5,7,21
80,10070.67,0,8,2.6,8,26
85,10114.55,0,8,2.8,8,26
90,10126.82,0,9,2.9,9,25
95,10085.59,0,9,3.3,9,27
100,10096.41,0,10,3.3,10,29
150,10188.84,0,15,5.2,14,39
200,10363.32,0,19,6.5,18,47
250,10177.73,0,25,9.7,23,70
300,10213.04,0,29,11.6,28,79
350,10135.73,0,34,13.9,33,93
400,10184.83,0,39,15.6,37,100
450,10258.49,0,44,15.7,42,107
500,10222.67,0,49,18.4,46,118
550,10155.30,0,54,20.1,51,130
600,10153.80,0,59,24.7,56,145
650,10055.21,0,64,28.6,62,163
700,10221.71,0,68,27.6,65,166
750,10190.26,0,73,31.7,71,171
800,10164.71,0,78,35.7,75,204
850,10143.41,0,83,32.6,81,194
900,10054.78,0,89,35.7,86,200
950,10180.69,2,93,39.4,90,202
